HOURBEGINNING_TIME,JCPL
01-JUN-2019 23:00:00,$18.98
01-JUN-2019 22:00:00,$19.23
01-JUN-2019 21:00:00,$21.56
01-JUN-2019 20:00:00,$22.90
01-JUN-2019 19:00:00,$23.50
01-JUN-2019 18:00:00,$26.57
01-JUN-2019 17:00:00,$31.22
01-JUN-2019 16:00:00,$32.60
01-JUN-2019 15:00:00,$29.30
01-JUN-2019 14:00:00,$28.50
01-JUN-2019 13:00:00,$26.20
01-JUN-2019 12:00:00,$23.41
01-JUN-2019 11:00:00,$21.52
01-JUN-2019 10:00:00,$21.93
01-JUN-2019 09:00:00,$19.94
01-JUN-2019 08:00:00,$19.46
01-JUN-2019 07:00:00,$18.74
01-JUN-2019 06:00:00,$17.51
01-JUN-2019 05:00:00,$17.48
01-JUN-2019 04:00:00,$17.15
01-JUN-2019 03:00:00,$17.83
01-JUN-2019 02:00:00,$18.33
01-JUN-2019 01:00:00,$18.68
01-JUN-2019 00:00:00,$19.46
31-MAY-2019 23:00:00,$18.69
31-MAY-2019 22:00:00,$20.92
31-MAY-2019 21:00:00,$23.59
31-MAY-2019 20:00:00,$22.73
31-MAY-2019 19:00:00,$22.96
31-MAY-2019 18:00:00,$26.52
31-MAY-2019 17:00:00,$32.04
31-MAY-2019 16:00:00,$30.46
31-MAY-2019 15:00:00,$28.86
31-MAY-2019 14:00:00,$28.26
31-MAY-2019 13:00:00,$27.37
31-MAY-2019 12:00:00,$24.94
31-MAY-2019 11:00:00,$25.49
31-MAY-2019 10:00:00,$22.60
31-MAY-2019 09:00:00,$20.22
31-MAY-2019 08:00:00,$19.34
31-MAY-2019 07:00:00,$19.12
31-MAY-2019 06:00:00,$18.14
31-MAY-2019 05:00:00,$16.97
31-MAY-2019 04:00:00,$16.09
31-MAY-2019 03:00:00,$15.89
31-MAY-2019 02:00:00,$16.81
31-MAY-2019 01:00:00,$17.99
31-MAY-2019 00:00:00,$18.07
30-MAY-2019 23:00:00,$18.26
30-MAY-2019 22:00:00,$19.51
30-MAY-2019 21:00:00,$22.92
30-MAY-2019 20:00:00,$27.35
30-MAY-2019 19:00:00,$25.08
30-MAY-2019 18:00:00,$25.41
30-MAY-2019 17:00:00,$32.91
30-MAY-2019 16:00:00,$35.14
30-MAY-2019 15:00:00,$31.77
30-MAY-2019 14:00:00,$30.71
30-MAY-2019 13:00:00,$27.95
30-MAY-2019 12:00:00,$24.50
30-MAY-2019 11:00:00,$24.38
30-MAY-2019 10:00:00,$23.04
30-MAY-2019 09:00:00,$22.09
30-MAY-2019 08:00:00,$20.35
30-MAY-2019 07:00:00,$19.38
30-MAY-2019 06:00:00,$19.11
30-MAY-2019 05:00:00,$17.69
30-MAY-2019 04:00:00,$17.68
30-MAY-2019 03:00:00,$17.25
30-MAY-2019 02:00:00,$17.71
30-MAY-2019 01:00:00,$18.37
30-MAY-2019 00:00:00,$18.85
29-MAY-2019 23:00:00,$18.05
29-MAY-2019 22:00:00,$19.55
29-MAY-2019 21:00:00,$20.83
29-MAY-2019 20:00:00,$24.60
29-MAY-2019 19:00:00,$24.67
29-MAY-2019 18:00:00,$25.54
29-MAY-2019 17:00:00,$28.31
29-MAY-2019 16:00:00,$30.90
29-MAY-2019 15:00:00,$30.37
29-MAY-2019 14:00:00,$28.50
29-MAY-2019 13:00:00,$24.98
29-MAY-2019 12:00:00,$22.10
29-MAY-2019 11:00:00,$22.16
29-MAY-2019 10:00:00,$22.30
29-MAY-2019 09:00:00,$20.52
29-MAY-2019 08:00:00,$18.90
29-MAY-2019 07:00:00,$18.78
29-MAY-2019 06:00:00,$18.55
29-MAY-2019 05:00:00,$18.54
29-MAY-2019 04:00:00,$17.99
29-MAY-2019 03:00:00,$18.15
29-MAY-2019 02:00:00,$18.53
29-MAY-2019 01:00:00,$18.78
29-MAY-2019 00:00:00,$19.19
28-MAY-2019 23:00:00,$19.48
28-MAY-2019 22:00:00,$20.64
28-MAY-2019 21:00:00,$21.80
28-MAY-2019 20:00:00,$26.46
28-MAY-2019 19:00:00,$25.40
28-MAY-2019 18:00:00,$27.02
28-MAY-2019 17:00:00,$28.79
28-MAY-2019 16:00:00,$27.06
28-MAY-2019 15:00:00,$26.49
28-MAY-2019 14:00:00,$28.77
28-MAY-2019 13:00:00,$24.91
28-MAY-2019 12:00:00,$21.77
28-MAY-2019 11:00:00,$21.48
28-MAY-2019 10:00:00,$21.22
28-MAY-2019 09:00:00,$20.17
28-MAY-2019 08:00:00,$19.09
28-MAY-2019 07:00:00,$18.77
28-MAY-2019 06:00:00,$18.62
28-MAY-2019 05:00:00,$16.69
28-MAY-2019 04:00:00,$14.97
28-MAY-2019 03:00:00,$14.84
28-MAY-2019 02:00:00,$14.91
28-MAY-2019 01:00:00,$15.52
28-MAY-2019 00:00:00,$16.48
27-MAY-2019 23:00:00,$18.50
27-MAY-2019 22:00:00,$18.79
27-MAY-2019 21:00:00,$21.65
27-MAY-2019 20:00:00,$22.20
27-MAY-2019 19:00:00,$21.95
27-MAY-2019 18:00:00,$24.92
27-MAY-2019 17:00:00,$26.63
27-MAY-2019 16:00:00,$25.05
27-MAY-2019 15:00:00,$25.47
27-MAY-2019 14:00:00,$23.98
27-MAY-2019 13:00:00,$22.73
27-MAY-2019 12:00:00,$21.02
27-MAY-2019 11:00:00,$19.75
27-MAY-2019 10:00:00,$18.80
27-MAY-2019 09:00:00,$18.01
27-MAY-2019 08:00:00,$17.17
