HOURBEGINNING_TIME,JCPL
08-MAR-2020 23:00:00,$14.21
08-MAR-2020 22:00:00,$14.78
08-MAR-2020 21:00:00,$16.72
08-MAR-2020 20:00:00,$18.88
08-MAR-2020 19:00:00,$22.12
08-MAR-2020 18:00:00,$16.00
08-MAR-2020 17:00:00,$14.16
08-MAR-2020 16:00:00,$13.48
08-MAR-2020 15:00:00,$13.48
08-MAR-2020 14:00:00,$13.50
08-MAR-2020 13:00:00,$14.25
08-MAR-2020 12:00:00,$14.63
08-MAR-2020 11:00:00,$15.56
08-MAR-2020 10:00:00,$17.06
08-MAR-2020 09:00:00,$18.39
08-MAR-2020 08:00:00,$19.47
08-MAR-2020 07:00:00,$20.74
08-MAR-2020 06:00:00,$19.87
08-MAR-2020 05:00:00,$18.78
08-MAR-2020 04:00:00,$17.57
08-MAR-2020 03:00:00,$16.42
08-MAR-2020 01:00:00,$16.25
08-MAR-2020 00:00:00,$17.17
