HOURBEGINNING_TIME,JCPL
03-NOV-2020 23:00:00,$18.96
03-NOV-2020 22:00:00,$21.50
03-NOV-2020 21:00:00,$24.51
03-NOV-2020 20:00:00,$27.62
03-NOV-2020 19:00:00,$29.18
03-NOV-2020 18:00:00,$36.98
03-NOV-2020 17:00:00,$41.26
03-NOV-2020 16:00:00,$26.53
03-NOV-2020 15:00:00,$23.68
03-NOV-2020 14:00:00,$23.44
03-NOV-2020 13:00:00,$24.45
03-NOV-2020 12:00:00,$25.84
03-NOV-2020 11:00:00,$26.31
03-NOV-2020 10:00:00,$27.47
03-NOV-2020 09:00:00,$28.05
03-NOV-2020 08:00:00,$30.37
03-NOV-2020 07:00:00,$38.81
03-NOV-2020 06:00:00,$37.38
03-NOV-2020 05:00:00,$26.08
03-NOV-2020 04:00:00,$22.70
03-NOV-2020 03:00:00,$20.21
03-NOV-2020 02:00:00,$20.19
03-NOV-2020 01:00:00,$21.28
03-NOV-2020 00:00:00,$21.96
02-NOV-2020 23:00:00,$23.75
02-NOV-2020 22:00:00,$24.24
02-NOV-2020 21:00:00,$27.38
02-NOV-2020 20:00:00,$30.40
02-NOV-2020 19:00:00,$33.12
02-NOV-2020 18:00:00,$46.52
02-NOV-2020 17:00:00,$52.12
02-NOV-2020 16:00:00,$30.32
02-NOV-2020 15:00:00,$24.54
02-NOV-2020 14:00:00,$24.63
02-NOV-2020 13:00:00,$26.17
02-NOV-2020 12:00:00,$28.68
02-NOV-2020 11:00:00,$30.48
02-NOV-2020 10:00:00,$33.18
02-NOV-2020 09:00:00,$35.70
02-NOV-2020 08:00:00,$39.27
02-NOV-2020 07:00:00,$50.57
02-NOV-2020 06:00:00,$48.99
02-NOV-2020 05:00:00,$30.46
02-NOV-2020 04:00:00,$25.72
02-NOV-2020 03:00:00,$23.77
02-NOV-2020 02:00:00,$23.38
02-NOV-2020 01:00:00,$23.99
02-NOV-2020 00:00:00,$23.71
31-OCT-2020 23:00:00,$23.09
31-OCT-2020 22:00:00,$24.34
31-OCT-2020 21:00:00,$25.48
31-OCT-2020 20:00:00,$26.00
31-OCT-2020 19:00:00,$26.97
31-OCT-2020 18:00:00,$27.31
31-OCT-2020 17:00:00,$24.01
31-OCT-2020 16:00:00,$21.95
31-OCT-2020 15:00:00,$21.19
31-OCT-2020 14:00:00,$22.15
31-OCT-2020 13:00:00,$22.81
31-OCT-2020 12:00:00,$24.57
31-OCT-2020 11:00:00,$25.99
31-OCT-2020 10:00:00,$29.91
31-OCT-2020 09:00:00,$31.71
31-OCT-2020 08:00:00,$33.20
31-OCT-2020 07:00:00,$32.72
31-OCT-2020 06:00:00,$29.70
31-OCT-2020 05:00:00,$27.09
31-OCT-2020 04:00:00,$25.49
31-OCT-2020 03:00:00,$24.85
31-OCT-2020 02:00:00,$25.03
31-OCT-2020 01:00:00,$26.61
31-OCT-2020 00:00:00,$28.82
