HOURBEGINNING_TIME,JCPL
31-DEC-2018 23:00:00,$18.91
31-DEC-2018 22:00:00,$19.44
31-DEC-2018 21:00:00,$20.70
31-DEC-2018 20:00:00,$21.62
31-DEC-2018 19:00:00,$23.09
31-DEC-2018 18:00:00,$23.48
31-DEC-2018 17:00:00,$25.01
31-DEC-2018 16:00:00,$22.41
31-DEC-2018 15:00:00,$20.75
31-DEC-2018 14:00:00,$21.20
31-DEC-2018 13:00:00,$21.12
31-DEC-2018 12:00:00,$21.68
31-DEC-2018 11:00:00,$22.54
31-DEC-2018 10:00:00,$23.11
31-DEC-2018 09:00:00,$23.52
31-DEC-2018 08:00:00,$23.80
31-DEC-2018 07:00:00,$24.46
31-DEC-2018 06:00:00,$22.70
31-DEC-2018 05:00:00,$20.49
31-DEC-2018 04:00:00,$19.58
31-DEC-2018 03:00:00,$19.29
31-DEC-2018 02:00:00,$19.29
31-DEC-2018 01:00:00,$19.40
31-DEC-2018 00:00:00,$19.77
30-DEC-2018 23:00:00,$21.54
30-DEC-2018 22:00:00,$23.25
30-DEC-2018 21:00:00,$24.95
30-DEC-2018 20:00:00,$26.10
30-DEC-2018 19:00:00,$26.12
30-DEC-2018 18:00:00,$26.00
30-DEC-2018 17:00:00,$27.42
30-DEC-2018 16:00:00,$22.46
30-DEC-2018 15:00:00,$20.82
30-DEC-2018 14:00:00,$20.62
30-DEC-2018 13:00:00,$21.10
30-DEC-2018 12:00:00,$21.46
30-DEC-2018 11:00:00,$21.97
30-DEC-2018 10:00:00,$22.57
30-DEC-2018 09:00:00,$23.51
30-DEC-2018 08:00:00,$22.61
30-DEC-2018 07:00:00,$21.69
30-DEC-2018 06:00:00,$21.08
30-DEC-2018 05:00:00,$20.90
30-DEC-2018 04:00:00,$20.31
30-DEC-2018 03:00:00,$20.16
30-DEC-2018 02:00:00,$20.32
30-DEC-2018 01:00:00,$20.83
30-DEC-2018 00:00:00,$22.04
29-DEC-2018 23:00:00,$22.73
29-DEC-2018 22:00:00,$23.47
29-DEC-2018 21:00:00,$25.18
29-DEC-2018 20:00:00,$27.26
29-DEC-2018 19:00:00,$27.77
29-DEC-2018 18:00:00,$27.71
29-DEC-2018 17:00:00,$29.09
29-DEC-2018 16:00:00,$23.88
29-DEC-2018 15:00:00,$21.89
29-DEC-2018 14:00:00,$21.27
29-DEC-2018 13:00:00,$21.41
29-DEC-2018 12:00:00,$21.94
29-DEC-2018 11:00:00,$22.25
29-DEC-2018 10:00:00,$22.44
29-DEC-2018 09:00:00,$22.28
29-DEC-2018 08:00:00,$21.20
29-DEC-2018 07:00:00,$19.33
29-DEC-2018 06:00:00,$18.81
29-DEC-2018 05:00:00,$19.07
29-DEC-2018 04:00:00,$18.75
29-DEC-2018 03:00:00,$18.79
29-DEC-2018 02:00:00,$18.76
29-DEC-2018 01:00:00,$19.13
29-DEC-2018 00:00:00,$19.51
28-DEC-2018 23:00:00,$19.96
28-DEC-2018 22:00:00,$21.37
28-DEC-2018 21:00:00,$22.33
28-DEC-2018 20:00:00,$23.61
28-DEC-2018 19:00:00,$24.59
28-DEC-2018 18:00:00,$25.34
28-DEC-2018 17:00:00,$25.92
28-DEC-2018 16:00:00,$23.61
28-DEC-2018 15:00:00,$22.54
28-DEC-2018 14:00:00,$22.53
28-DEC-2018 13:00:00,$22.80
28-DEC-2018 12:00:00,$23.31
28-DEC-2018 11:00:00,$23.95
28-DEC-2018 10:00:00,$24.39
28-DEC-2018 09:00:00,$24.43
28-DEC-2018 08:00:00,$23.83
28-DEC-2018 07:00:00,$22.91
28-DEC-2018 06:00:00,$21.53
28-DEC-2018 05:00:00,$20.11
28-DEC-2018 04:00:00,$19.85
28-DEC-2018 03:00:00,$19.48
28-DEC-2018 02:00:00,$19.43
28-DEC-2018 01:00:00,$19.96
28-DEC-2018 00:00:00,$20.23
27-DEC-2018 23:00:00,$23.48
27-DEC-2018 22:00:00,$24.37
27-DEC-2018 21:00:00,$26.10
27-DEC-2018 20:00:00,$27.43
27-DEC-2018 19:00:00,$29.63
27-DEC-2018 18:00:00,$30.11
27-DEC-2018 17:00:00,$32.89
27-DEC-2018 16:00:00,$26.24
27-DEC-2018 15:00:00,$25.15
27-DEC-2018 14:00:00,$25.15
27-DEC-2018 13:00:00,$25.70
27-DEC-2018 12:00:00,$25.92
27-DEC-2018 11:00:00,$25.82
27-DEC-2018 10:00:00,$26.84
27-DEC-2018 09:00:00,$28.38
27-DEC-2018 08:00:00,$30.77
27-DEC-2018 07:00:00,$31.68
27-DEC-2018 06:00:00,$27.98
27-DEC-2018 05:00:00,$26.11
27-DEC-2018 04:00:00,$25.81
27-DEC-2018 03:00:00,$24.93
27-DEC-2018 02:00:00,$25.01
27-DEC-2018 01:00:00,$25.30
27-DEC-2018 00:00:00,$25.24
26-DEC-2018 23:00:00,$25.52
26-DEC-2018 22:00:00,$27.27
26-DEC-2018 21:00:00,$30.70
26-DEC-2018 20:00:00,$31.93
26-DEC-2018 19:00:00,$32.91
26-DEC-2018 18:00:00,$32.78
26-DEC-2018 17:00:00,$38.69
26-DEC-2018 16:00:00,$28.61
26-DEC-2018 15:00:00,$26.07
26-DEC-2018 14:00:00,$26.13
26-DEC-2018 13:00:00,$26.87
26-DEC-2018 12:00:00,$27.38
26-DEC-2018 11:00:00,$29.76
26-DEC-2018 10:00:00,$30.93
26-DEC-2018 09:00:00,$32.20
26-DEC-2018 08:00:00,$33.00
26-DEC-2018 07:00:00,$33.11
26-DEC-2018 06:00:00,$32.78
26-DEC-2018 05:00:00,$28.11
26-DEC-2018 04:00:00,$26.92
26-DEC-2018 03:00:00,$25.33
26-DEC-2018 02:00:00,$25.08
26-DEC-2018 01:00:00,$25.47
26-DEC-2018 00:00:00,$26.52
25-DEC-2018 23:00:00,$24.89
25-DEC-2018 22:00:00,$26.75
25-DEC-2018 21:00:00,$29.08
25-DEC-2018 20:00:00,$31.52
25-DEC-2018 19:00:00,$32.15
25-DEC-2018 18:00:00,$32.60
25-DEC-2018 17:00:00,$34.21
25-DEC-2018 16:00:00,$26.34
25-DEC-2018 15:00:00,$24.38
25-DEC-2018 14:00:00,$24.14
25-DEC-2018 13:00:00,$24.49
25-DEC-2018 12:00:00,$25.14
25-DEC-2018 11:00:00,$26.42
25-DEC-2018 10:00:00,$27.62
25-DEC-2018 09:00:00,$28.11
25-DEC-2018 08:00:00,$28.69
25-DEC-2018 07:00:00,$26.65
25-DEC-2018 06:00:00,$24.60
25-DEC-2018 05:00:00,$23.27
25-DEC-2018 04:00:00,$22.89
25-DEC-2018 03:00:00,$22.20
25-DEC-2018 02:00:00,$22.41
25-DEC-2018 01:00:00,$23.06
25-DEC-2018 00:00:00,$23.95
24-DEC-2018 23:00:00,$26.74
24-DEC-2018 22:00:00,$27.95
24-DEC-2018 21:00:00,$30.80
24-DEC-2018 20:00:00,$32.60
24-DEC-2018 19:00:00,$34.44
24-DEC-2018 18:00:00,$34.74
24-DEC-2018 17:00:00,$35.61
24-DEC-2018 16:00:00,$30.10
24-DEC-2018 15:00:00,$25.97
24-DEC-2018 14:00:00,$25.83
24-DEC-2018 13:00:00,$26.17
24-DEC-2018 12:00:00,$26.93
24-DEC-2018 11:00:00,$28.35
24-DEC-2018 10:00:00,$30.60
24-DEC-2018 09:00:00,$31.22
24-DEC-2018 08:00:00,$30.77
24-DEC-2018 07:00:00,$29.72
24-DEC-2018 06:00:00,$26.67
24-DEC-2018 05:00:00,$24.79
24-DEC-2018 04:00:00,$24.32
24-DEC-2018 03:00:00,$23.56
24-DEC-2018 02:00:00,$23.72
24-DEC-2018 01:00:00,$24.22
24-DEC-2018 00:00:00,$24.73
